"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Part Number"
"C3,C4,C5,C6,C17","5","10u","","","","0402W106M6R3HI"
"C7","1","1u","","","","JMK105BJ105KV-F"
"C8,C9,C10,C12","4","470n","","","","C0402C474K9PACTU"
"C11","1","4.7u","","","","CL05A475KQ5NRNC"
"C18,C19,C20,C21,C22","5","100n","","","","CL05B104KP5NNNC"
"CS0","1","TestPoint_Alt","","","",""
"D1","1","BAT20JFILM","","","","BAT20JFILM"
"H2,H4","2","MOUNT-HOLE2.2","","","",""
"I2C0,J6,J7,J8,SPI0,UART0","6","M50-3530442","","","","M50-3530442"
"J1","1","10118192-0001LF","","","","10118192-0001LF"
"J2","1","LIPO1","","","","B2B-XH-A:JST_B2B-XH-A"
"J3,J4,J5","3","M20-9990246","","","","M20-9990246"
"LED1","1","YLW","","","","GY PSLM31.13-HQHS-5F5G-L2M2-100-R18"
"LED2","1","GRN","","","","GT PSLM31.13-HRHT-26-KM-100-R18"
"MOSFET1","1","BSS205NH6327XTSA1","","","","BSS205NH6327XTSA1"
"R4","1","100k","","","","RR0816P-104-D"
"R7,R8,R9","3","4k7","","","","RC0402JR-074K7L"
"TP1,TP2,TP3,TP4,TP5,TP6","6","TestPoint","","","",""
"U1","1","ESP32-DEVKITC-32D","","","","ESP32-DEVKITC-32D"
"U2","1","MCP73831T-2ACI/OT","","","","MCP73831T-2ACI/OT"
"U3","1","AP2112K-3.3TRG1","","","","AP2112K-3.3TRG1"
"U4","1","AD5941BCPZ-RL7","","","","AD5941BCPZ-RL7"
