Parameter,Estimate,StdError
Rs,1.07274710963937e-13,37.1578630960036
γ_1,2.22119804504955e-14,365.175786425231
γ_2,2.22117570693e-14,726.589340434192
γ_3,2.22113537549549e-14,700.18167203078
γ_4,2.22106601118413e-14,508.506958598446
γ_5,2.22096832314054e-14,357.23811070803
γ_6,2.2208503148964e-14,270.700465003512
γ_7,2.22072596288013e-14,224.61889752045
γ_8,2.22061513977558e-14,200.043749000289
γ_9,2.22052953897831e-14,186.739390207507
γ_10,2.22047717338458e-14,179.428165553689
γ_11,2.2204708395162e-14,175.35859979119
γ_12,2.22046274551524e-14,173.100280131201
γ_13,2.22045983938634e-14,171.954487063275
γ_14,2.22044604925031e-14,171.618856323934
γ_15,772.479636109499,171.985690309152
γ_16,1000,172.98753567891
γ_17,1000,174.530267944084
γ_18,1000,176.531039745266
γ_19,1000,179.034020608094
γ_20,1000,182.606590356301
γ_21,1000,188.35087335566
γ_22,1000,196.525677643638
γ_23,1000,205.897475392996
γ_24,1000,216.632580743925
γ_25,1000,233.814572757754
γ_26,1000,267.559877499695
γ_27,1000,336.485704661585
γ_28,1000,487.656629129512
γ_29,1000,874.143736477709
γ_30,1000,2077.14206698659
γ_31,1000,6605.78783086157
γ_32,1000,25544.5175813707
γ_33,1000,100476.85649671
γ_34,1000,332702.879032855
γ_35,1000,744425.166999065
γ_36,1000,882334.540447693
γ_37,1000,858463.695753883
γ_38,1000,932859.19136541
γ_39,1000,772956.608757022
γ_40,1000,1031555.9001686
